priority_action,final_tier,company,sources,route_included,route_area,route_seq,size_class,customer_type,fit_product,phone,email,website,maps,address,has_maps,has_phone,has_email,open_status,distance_km,review_status,contact_status,followup_status,gmail_draft_id,next_action,risk,notes,photo_paths,entity_key,tier_group,country_scope,channel_track,data_confidence,last_updated
Lower priority,T4,Ramly Food Processing,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,frozen_food,"frozen burgers, nuggets, processed meat | B/T first; A/K optional | frozen processed food tray and promo pack | frozen burgers, nuggets, processed meat | B/T first; A/K optional | frozen processed food tray and promo pack",,,https://ramly.com.my/,,Selangor,No,No,No,,,未审核-AI预筛,,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,,ramlyfoodprocessing,T4,Malaysia / event-discovered,research_only,Medium,2026-07-18
Lower priority,T4,Sin Hwa Dee Industries Sdn Bhd,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,sauce/condiment manufacturer; food_direct_customer,"sauces/pastes/condiments | B/T first; A/K optional | PP cups, sauce tubs, small pails, IML packaging | sauces/pastes/condiments | B/T first; A/K optional | PP cups, sauce tubs, small pails, IML packaging",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,Malaysia,No,No,No,,,未审核-AI预筛,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify official site/contact; determine whether they are direct buyer or channel; check revenue/size if large enough.,,FDM official exhibitors list 2024/2025: Official FDM exhibitors list includes this company in Malaysia entries.,,sinhwadeeindustries,T4,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T4,The Coffee Bean & Tea Leaf Malaysia,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,cafe chain; supply_chain_outsourcing,"coffee chain | Supply-chain outsourcing; not HUASUE-only | paper cups, paper bags, takeaway packaging | coffee chain | Supply-chain outsourcing; not HUASUE-only | paper cups, paper bags, takeaway packaging",,,https://mifb.com.my/mycafeexpo/,,Malaysia,No,No,No,,,未审核-AI预筛,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,,"Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names.",,thecoffeebeanandtealeafmalaysia,T4,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T4,The Margaret River Dairy Company,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,dairy / yogurt / cheese,B/T cups or tubs; custom validation needed | PP dairy cups / tubs; export-market benchmark | B/T cups or tubs; custom validation needed | PP dairy cups / tubs; export-market benchmark,,,,,Australia brand,No,No,No,,,未审核-AI预筛,,uncontacted,,Use as benchmark unless SEA import/distributor contact found,,More export-market intelligence than Malaysia quick lead.,,themargaretriverdairy,T4,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T4,Wellbond Food Industries,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,food_oem_private_label | sauce_condiment_oem | food_oem_private_label | sauce_condiment_oem,"sauces, pastes, private labelling | B/T first; A/K optional | bulk sauce and retail paste packaging | PP tubs for sauces/pastes; foodservice containers; IML branded sauce containers | B/T first; A/K optional | sauces, pastes, private labelling | B/T first; A/K optional | bulk sauce and retail paste packaging | PP tubs for sauces/pastes; foodservice containers; IML branded sauce containers | B/T first; A/K optional",+6011-1023 1769 / +603-2856 6395 / website/whatsapp/email/phone,hello@wfigroup.asia,https://www.wfigroup.asia/private-labelling-for-food-products | https://wfigroup.asia/ | https://www.wfigroup.asia/private-labelling-for-food-products | https://wfigroup.asia/ | https://wfigroup.asia/ | https://www.wfigroup.asia/private-labelling-for-food-products,,Kuala Lumpur,No,Yes,Yes,,,已审核,research_prepared_not_contacted / gmail_draft_created,uncontacted / 未跟进-待背景调查 | gmail_draft_created,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 | WhatsApp official number; if no reply call office; ask for packaging sourcing person / WhatsApp official number; call office if no reply / Review and send Gmail draft r7895999702134408614; then WhatsApp/phone +6011-1023 1769 | 先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发 | WhatsApp official number; if no reply call office; ask for packaging sourcing person / WhatsApp official number; call office if no reply / Review and send Gmail draft r7895999702134408614; then WhatsApp/phone +6011-1023 1769 | Kevin review/send; then call or LinkedIn follow-up | 先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,"Low/no opportunity under current injection-packaging focus. | Easy contact route and sauce tub fit; likely faster response than larger accounts. / Draft created: draft_id=r7895999702134408614; message_id=19f2bfea1b9ecc1c. Attachments: B PP tamper-evident, K PP meal boxes.",,wellbondfoodindustries,T4,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T5/T6,Devondale,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,dairy,B/T cups or tubs; custom validation needed | PP dairy packaging benchmark | B/T cups or tubs; custom validation needed | PP dairy packaging benchmark,,,,,Australia/overseas brand,No,No,No,,,未审核-AI预筛,,uncontacted,,Use as benchmark; verify SEA contact before outreach,,Not first-wave Malaysia target.,,devondale,T5,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T5/T6,Eco Plus Packaging (M) Sdn Bhd,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,one-stop packaging solution,Needs product-format check | Supply/reseller partnership for PP containers and branded packaging | Needs product-format check | Supply/reseller partnership for PP containers and branded packaging,,,https://www.ecopluspackaging.com.my,,Shah Alam Selangor Malaysia,No,No,No,,,未审核-AI预筛,,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,,ecopluspackaging,T5,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T5,Farmland Bakery (M) Sdn Bhd,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,frozen bakery and private label / food_sweet_expanded,"frozen tortilla pizza base bread paratha private label | C/E first; T/J optional | frozen bakery packs, PP trays, retail packs, foodservice containers | frozen tortilla pizza base bread paratha private label | C/E first; T/J optional | frozen bakery packs, PP trays, retail packs, foodservice containers",+607 595 9799 / +607 595 9789,info@farmlandbakery.com,https://www.farmlandbakery.com/,,Senai Johor,No,Yes,Yes,,,已审核,email_bounced_corrected_draft_ready,email_bounced_corrected_draft_ready,,Original info@farmlandbakery.com.my bounced because domain has no usable DNS/MX; new Gmail draft r-1553282530517304248 created for info@farmlandbakery.com. Backup: sales.enquiry@farmlandbakery.com / website form / phone +607 595 9799 | Original info@farmlandbakery.com.my bounced because domain has no usable DNS/MX; new Gmail draft r-1553282530517304248 created for info@farmlandbakery.com. Backup: sales.enquiry@farmlandbakery.com / website form / phone +607 595 9799 | Kevin review/send; then phone/WhatsApp follow-up,,"No clear opportunity now. | Third batch food/sweet focus. Category: frozen bakery and private label. Angle: frozen bakery packs, PP trays, retail packs. Website added in signature. 2026-07-03 email domain corrected after bounce.",,farmlandbakery,T5,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T5/T6,Fuji Fastener,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,fastener manufacturer,Non-food track; lower current priority | Heavy-duty small boxes compartment packs labels | Non-food track; lower current priority | Heavy-duty small boxes compartment packs labels,,,https://www.fujifastener.com,,Selangor Malaysia,No,No,No,,,未审核-AI预筛,,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,,fujifastener,T5,Malaysia / event-discovered,research_only,Medium,2026-07-18
Lower priority,T5/T6,Siggi's,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,yogurt / dairy,B/T cups or tubs; custom validation needed | PP yogurt cups / dairy cups / benchmark only | B/T cups or tubs; custom validation needed | PP yogurt cups / dairy cups / benchmark only,,,,,US/overseas brand,No,No,No,,,未审核-AI预筛,,uncontacted,,Check whether Malaysia/SEA entity exists,,Likely not immediate Malaysia target.,,siggis,T5,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T5/T6,T Rex Metalware Packaging Ware,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,channel_wholesaler,Retail/online packaging ware including plastic food containers | Needs product-format check | Retail channel for small-volume plastic food containers; K-series can be offered for general commodity packaging if suitable | Retail/online packaging ware including plastic food containers | Needs product-format check | Retail channel for small-volume plastic food containers; K-series can be offered for general commodity packaging if suitable,,,https://www.trexmetalware.com.my/ourproducts/cid/247200/cat/packaging-ware/,,Malaysia,No,No,No,,,未审核-AI预筛,,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,,,trexmetalwarepackagingware,T5,Malaysia / event-discovered,research_only,Medium,2026-07-18
Lower priority,T5,TCL Food Link Sdn. Bhd.,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,Japanese food importer/distributor,B/T first; A/K optional | Food tray takeaway box frozen/chilled packaging distribution channel | B/T first; A/K optional | Food tray takeaway box frozen/chilled packaging distribution channel,,,https://tclfoodlink.com.my,,Petaling Jaya Selangor Malaysia,No,No,No,,,已审核,,uncontacted / 未跟进-待背景调查,,先做背景调查：官网、联系方式、海关资料、营收/规模，再决定是否开发,,"Japanese food channel / frozen-chilled food customer entry / restaurant-supermarket resources. Only small opportunities: tasting cups, sauce cups, frozen trays, Japanese bento packaging. Too indirect for current priority.",,tclfoodlink,T5,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T5/T6,Vaalia,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,yogurt / probiotic dairy,B/T cups or tubs; custom validation needed | PP yogurt cups / dairy tubs | B/T cups or tubs; custom validation needed | PP yogurt cups / dairy tubs,,,,,Australia/overseas brand,No,No,No,,,未审核-AI预筛,,uncontacted,,Use as packaging benchmark unless local SEA procurement found,,Not first-wave Malaysia target.,,vaalia,T5,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,T6,Pengeksport Nanas MY,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,pineapple exporter/association; food_direct_customer,"fruit/export products | Supply-chain outsourcing; not HUASUE-only | export retail packs, clear boxes, paper bags | fruit/export products | Supply-chain outsourcing; not HUASUE-only | export retail packs, clear boxes, paper bags",,,https://www.fooddrinksmalaysia.com/who-exhibits/,,Malaysia / FDM featured,No,No,No,,,已审核,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach.,,Little opportunity under current HUASUE route. It appears to be fresh pineapple export rather than deep processed food. Only reconsider if there is processed pineapple / retail gift packaging. | FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands.,,pengeksportnanasmy,T6,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"ANHUI SUTAITAI FOODS CO., LTD",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,anhuisutaitaifoods,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"BEIJING JTM INTERNATIONAL FOOD CO.,LTD",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,beijingjtminternationalfood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"CHAOYANG FENGMAI FOOD CO., LTD.",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,chaoyangfengmaifood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,NEED_MORE_INFO_SMALL_VOLUME,Cherita Chocolate,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,chocolate brand/manufacturer; food_direct_customer / chocolate_gift_pack,"chocolate products / PET transparent boxes for chocolate gift packs; PET jars for gourmet snacks; premium display packs | F/E first; T/J optional | PET jars, premium gift packaging, clear retail boxes / PET transparent boxes for chocolate gift packs; PET jars for gourmet snacks; premium display packs | chocolate products / PET transparent boxes for chocolate gift packs; PET jars for gourmet snacks; premium display packs | F/E first; T/J optional | PET jars, premium gift packaging, clear retail boxes / PET transparent boxes for chocolate gift packs; PET jars for gourmet snacks; premium display packs",+60 19-663 3463 / facebook/instagram/whatsapp/email,cheritachocolate@gmail.com,https://www.fooddrinksmalaysia.com/who-exhibits/ / https://cheritachocolate.com/,,Malaysia / FDM featured,No,Yes,Yes,,,已审核,needs_contact_research / research_prepared_not_contacted / gmail_draft_created,gmail_draft_created,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify website/contact; check company scale and whether buyer/procurement contact exists before outreach. / WhatsApp or Instagram DM with visual-first packaging sample message / WhatsApp or Instagram/Facebook DM with visual-first packaging sample message / Review and send Gmail draft r3864726390894517262; then WhatsApp/Instagram visual follow-up | Kevin review/send; then call or LinkedIn follow-up,,"Product fit possible, but likely small volume; check scale before spending too much time. | FDM2026 official featured brands: Official FDM2026 who-exhibits page lists this brand under Featured Brands. / Premium chocolate/gifting fit; approach visually with PET box/jar samples. / Draft created: draft_id=r3864726390894517262; message_id=19f2bff47ba55bb6. Attachments: F PET jars, E PET boxes.",,cheritachocolate,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"DONGGUAN CITY SHAERGEFOOD CO.,LTD.",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,dongguancityshaergefood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,PENDING_REVIEW,FamilyMart Malaysia,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,convenience/F&B retail; supply_chain_outsourcing,"convenience food and beverage retail | B/T first; A/K optional | ready-meal containers, paper cups, takeaway packaging | convenience food and beverage retail | B/T first; A/K optional | ready-meal containers, paper cups, takeaway packaging",,,https://mifb.com.my/mycafeexpo/,,Malaysia,No,No,No,,,已审核,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify buyer/procurement contact and current packaging; classify as supply-chain outsourcing opportunity.,,"Kevin will review later. Do not finalize these rows yet. | Malaysia Café Expo ecosystem target: MCE official page states it covers cafe owners, roasters, suppliers, bakery/pastries, snacks/confectionery and cafe franchise/licensing brands; these are target ecosystem companies, not confirmed exhibitor names.",,familymartmalaysia,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"FUJIAN MAIXIANGYUAN FOODS CO., LTD",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,fujianmaixiangyuanfoods,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"FUJIAN YIDA FOOD CO., LTD.",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,fujianyidafood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"FUZHOU XIAOER INTERNATIONAL FOOD CO., LTD.",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,fuzhouxiaoerinternationalfood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"FUZHOU XUHUANG FOODS CO., LTD",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with likely snack/confectionery/biscuit/nut product route; priority to verify at booth. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Closest to Kevin fit model among new names: snack/confectionery/biscuit/nuts where tubs, jars, rigid boxes or gift packs may be relevant.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,fuzhouxuhuangfoods,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,UNKNOWN,G&H Cake House Sdn Bhd,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,cake/bakery; food_direct_customer,"cake house / bakery products | C/E first; T/J optional | cake display trays, PET bakery boxes, paper bags | cake house / bakery products | C/E first; T/J optional | cake display trays, PET bakery boxes, paper bags",,,https://www.fooddrinksmalaysia.com/exhibitors-list/,,Malaysia,No,No,No,,,已审核,needs_contact_research,uncontacted / 未跟进-待背景调查,,先核验官网/联系人/采购负责人；再决定是否开发 / Verify official site/contact; determine whether they are direct buyer or channel; check revenue/size if large enough.,,"Exhibition customer, not enough info; website not found. | FDM official exhibitors list 2024/2025: Official FDM exhibitors list includes this company in Malaysia entries.",,gandhcakehouse,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,Global Premium Resources Sdn Bhd / GPR Food,233审核共享表; 323总审核池; 跟进状态表; 2026-07-18 consolidated master,No,,,,bakery_biscuit_cookie,"Butter cookies, cookie tins/boxes, PET display packs, festive packs | T/J first; F/E optional | Butter cookie gift packs and clear PET packaging for retail shelf display | Butter cookies, cookie tins/boxes, PET display packs, festive packs | T/J first; F/E optional | Butter cookie gift packs and clear PET packaging for retail shelf display",+607-433 3099,info@gprfood.com.com / leong@gprfood.com,https://gprfood.com/gold/contact-us/,,"Lot 52885, Batu 2, Jalan Minyak Beku, 83000 Batu Pahat, Johor, Malaysia",No,Yes,Yes,,,未审核-AI预筛,hold_do_not_contact,hold_do_not_contact,,Hold. Do not contact GPR until Kevin confirms. | Hold. Do not contact GPR until Kevin confirms. | Kevin 说 GPR 先不联系,,"Second batch. Email needs final verification from public sources; call is important. Angle: butter cookie PET boxes, cookie jars, clear gift packs. Kevin said GPR should not be contacted for now on 2026-07-03.",,globalpremiumresourcesgprfood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"GREEN PRIME FOODS(BAOJI) CO.,LTD",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible packaged-food route; strong enough to investigate but needs product/package proof. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Potential manufacturer/show lead, but exact packaging format needs confirmation before outreach.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,greenprimefoodsbaoji,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"HEBEI DEHONG FOOD CO., LTD",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible but uncertain fit; verify before spending outreach time. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Kept as T2 because category or product format may be soft-pack, beverage, seafood, distributor, or unclear.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,hebeidehongfood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
Lower priority,HOLD,"HEBEI LIHUA FOOD CO.,LTD.",323总审核池; 2026-07-18 consolidated master,No,,,,packaged food exhibitor,"New non-duplicate FDM exhibitor with possible but uncertain fit; verify before spending outreach time. | T/J/E/F only after product-photo confirmation; reject if mostly soft pouch, cans, cartons or frozen line. | Kept as T2 because category or product format may be soft-pack, beverage, seafood, distributor, or unclear.",,,,,CHINA,No,No,No,,,已审核-国内暂缓,,,,HOLD - China domestic exhibitor. Do not contact in current Malaysia overseas-priority batch; revisit later if China exhibitor route is opened.,中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。,"中国大陆公司暂不优先联系；当前阶段先以中国以外客户为主。保留资料，后续如做国内/中国展商专线再处理。 | FDM 2026 official exhibitors list; Find official website; confirm exact products, current packaging photos, manufacturer vs trader, scale/export/OEM signal, MOQ fit and buyer contact.",,hebeilihuafood,UNRATED,Malaysia / event-discovered,rigid_food_packaging,Medium,2026-07-18
